SECTION_ID,WEEKDAY_NAME,BLOCK_NAME,ROOM
101004-40,Wednesday,Period 3 (US),US Classroom 307
101004-40,Thursday,Period 9 (US),US Classroom 307
102000-10,Monday,Period 7 (US),US Classroom 301
102000-10,Tuesday,Period 10 (US),US Classroom 301
102000-10,Thursday,Period 5 (US),US Classroom 301
102000-10,Friday,Period 1 (US),US Classroom 301
102000-20,Monday,Period 6 (US),US Classroom 604
102000-20,Wednesday,Period 7 (US),US Classroom 604
102000-20,Thursday,Period 6 (US),US Classroom 604
102000-20,Friday,Period 2 (US),US Classroom 604
102000-25,Monday,Period 6 (US),US Classroom 501
102000-25,Wednesday,Period 7 (US),US Classroom 501
102000-25,Thursday,Period 6 (US),US Classroom 501
102000-25,Friday,Period 2 (US),US Classroom 501
102000-30,Monday,Period 2 (US),US Classroom 604
102000-30,Tuesday,Period 6 (US),US Classroom 604
102000-30,Wednesday,Period 10 (US),US Classroom 604
102000-30,Thursday,Period 2 (US),US Classroom 604
102000-35,Monday,Period 2 (US),US Classroom 301
102000-35,Tuesday,Period 6 (US),US Classroom 301
102000-35,Wednesday,Period 10 (US),US Classroom 301
102000-35,Thursday,Period 2 (US),US Classroom 301
102000-40,Monday,Period 9 (US),US Classroom 604
102000-40,Tuesday,Period 8 (US),US Classroom 604
102000-40,Wednesday,Period 3 (US),US Classroom 604
102000-40,Thursday,Period 9 (US),US Classroom 604
103033-40,Monday,Period 9 (US),US Classroom 507
103033-40,Wednesday,Period 3 (US),US Classroom 507
103033-40,Thursday,Period 9 (US),US Classroom 507
103034-20,Monday,Period 6 (US),US Classroom 507
103034-20,Thursday,Period 6 (US),US Classroom 507
103034-20,Friday,Period 2 (US),US Classroom 507
103041-10,Monday,Period 7 (US),US Classroom 306
103041-10,Thursday,Period 5 (US),US Classroom 306
103041-10,Friday,Period 1 (US),US Classroom 306
103043-20,Wednesday,Period 7 (US),US Classroom 506
103043-20,Thursday,Period 6 (US),US Classroom 506
103043-20,Friday,Period 2 (US),US Classroom 506
103044-30,Monday,Period 2 (US),US Classroom 306
103044-30,Wednesday,Period 10 (US),US Classroom 306
103044-30,Thursday,Period 2 (US),US Classroom 306
103044-40,Monday,Period 9 (US),US Classroom 306
103044-40,Tuesday,Period 8 (US),US Classroom 306
103044-40,Thursday,Period 9 (US),US Classroom 306
104009-10,Monday,Period 5 (US),US Classroom 305
104009-10,Tuesday,Period 2 (US),US Classroom 506
104009-10,Wednesday,Period 5 (US),US Classroom 301
104009-10,Friday,Period 6 (US),US Classroom 401
104010-20,Monday,Period 5 (US),US SC-Seminar
104010-20,Tuesday,Period 2 (US),US SC-Seminar
104010-20,Wednesday,Period 5 (US),US SC-Seminar
104010-20,Friday,Period 6 (US),US SC-Seminar
104011-10,Monday,Period 1 (US),US Classroom 503 Chem Lab
104011-10,Tuesday,Period 7 (US),US Classroom 401
104011-10,Wednesday,Period 1 (US),US Classroom 305
104011-10,Friday,Period 3 (US),US Classroom 304
104011-20,Monday,Period 5 (US),US Classroom 604
104011-20,Tuesday,Period 2 (US),US Classroom 503 Chem Lab
104011-20,Wednesday,Period 5 (US),US Classroom 304
104011-20,Friday,Period 6 (US),US Classroom 304
104012-10,Monday,Period 1 (US),US Classroom 303 Math
104012-10,Tuesday,Period 7 (US),US Classroom 303 Math
104012-10,Wednesday,Period 1 (US),US Classroom 303 Math
104012-10,Friday,Period 3 (US),US Classroom 303 Math
104012-20,Monday,Period 5 (US),US Classroom 303 Math
104012-20,Tuesday,Period 2 (US),US Classroom 303 Math
104012-20,Wednesday,Period 5 (US),US Classroom 303 Math
104012-20,Friday,Period 6 (US),US Classroom 303 Math
104013-10,Monday,Period 1 (US),US Classroom 603 Math
104013-10,Tuesday,Period 7 (US),US Classroom 603 Math
104013-10,Wednesday,Period 1 (US),US Classroom 603 Math
104013-10,Friday,Period 3 (US),US Classroom 603 Math
104013-20,Monday,Period 5 (US),US Classroom 603 Math
104013-20,Tuesday,Period 2 (US),US Classroom 606 Math
104013-20,Wednesday,Period 5 (US),US Classroom 606 Math
104013-20,Friday,Period 6 (US),US Classroom 606 Math
