STUDENT_ID,SCHOOL_ID,SECTION_ID
100209,Upper,095400-20
100191,Upper,095400-20
100284,Upper,095400-20
100157,Upper,095400-20
100160,Upper,095400-20
120110,Upper,095400-20
100178,Upper,095400-20
100206,Upper,095400-20
100168,Upper,095400-20
100133,Upper,095400-20
100294,Upper,095400-20
100202,Upper,095400-20
120036,Upper,095400-20
100151,Upper,095400-20
100297,Upper,095400-30
100272,Upper,095400-30
100185,Upper,095400-30
100172,Upper,095400-30
120108,Upper,095400-30
100210,Upper,095400-30
120111,Upper,095400-30
100193,Upper,095400-30
100179,Upper,095400-30
100189,Upper,095400-30
120154,Upper,095400-30
120130,Upper,095400-30
120134,Upper,095400-30
120101,Upper,095400-40
120107,Upper,095400-40
100306,Upper,095400-40
100309,Upper,095400-40
100298,Upper,095400-40
100201,Upper,095400-40
100183,Upper,095400-40
100180,Upper,095400-40
120145,Upper,095400-40
100170,Upper,095400-40
120128,Upper,095400-40
120123,Upper,095400-40
100282,Upper,095400-50
120045,Upper,095400-50
120122,Upper,095400-50
120070,Upper,095400-50
120097,Upper,095400-50
100187,Upper,095400-50
100188,Upper,095400-50
100240,Upper,095400-50
100307,Upper,095400-50
120119,Upper,095400-50
100295,Upper,095400-50
120126,Upper,095400-50
100155,Upper,095400-60
120071,Upper,095400-60
100310,Upper,095400-60
100205,Upper,095400-60
100165,Upper,095400-60
100919,Upper,095400-60
100932,Upper,095400-60
120096,Upper,095400-60
100649,Upper,095400-60
120051,Upper,095400-60
120165,Upper,095400-60
120103,Upper,095400-60
100203,Upper,095400-60
120134,Upper,095400-60
120055,Upper,095400-70
100642,Upper,095400-70
120039,Upper,095400-70
100300,Upper,095400-70
100177,Upper,095400-70
100241,Upper,095400-70
120164,Upper,095400-70
100204,Upper,095400-70
120138,Upper,095400-70
100286,Upper,095400-70
100662,Upper,095400-70
100239,Upper,095400-80
100158,Upper,095400-80
100159,Upper,095400-80
100971,Upper,095400-80
100163,Upper,095400-80
120112,Upper,095400-80
120143,Upper,095400-80
100174,Upper,095400-80
100799,Upper,095400-80
100194,Upper,095400-80
100302,Upper,095400-80
100195,Upper,095400-80
100196,Upper,095400-80
120126,Upper,095400-80
100282,Upper,096001-10
100185,Upper,096001-10
100154,Upper,096001-10
100309,Upper,096001-10
100310,Upper,096001-10
100205,Upper,096001-10
100191,Upper,096001-10
100284,Upper,096001-10
100158,Upper,096001-10
100298,Upper,096001-10
100159,Upper,096001-10
100160,Upper,096001-10
100178,Upper,096001-10
100206,Upper,096001-10
100180,Upper,096001-10
120154,Upper,096001-10
120130,Upper,096001-10
100153,Upper,096001-10
100297,Upper,096002-10
100172,Upper,096002-10
120101,Upper,096002-10
100155,Upper,096002-10
